placeholder_reflex_airfoil_for_smoke_tests
1.000000 0.000000
0.950000 0.004500
0.900000 0.008000
0.800000 0.013500
0.700000 0.018000
0.600000 0.021000
0.500000 0.022000
0.400000 0.021000
0.300000 0.017000
0.200000 0.011000
0.100000 0.004000
0.050000 0.001000
0.000000 0.000000
0.050000 -0.005000
0.100000 -0.008000
0.200000 -0.012000
0.300000 -0.014000
0.400000 -0.014500
0.500000 -0.013000
0.600000 -0.010500
0.700000 -0.007000
0.800000 -0.003500
0.900000 -0.001000
0.950000 -0.000200
1.000000 0.000000
